Week,ClimateChangeUK,HeatWaveUK
2016-12-11,15,1
2016-12-18,11,1
2016-12-25,10,1
2017-01-01,11,0.5
2017-01-08,18,1
2017-01-15,23,1
2017-01-22,25,1
2017-01-29,19,2
2017-02-05,22,1
2017-02-12,14,3
2017-02-19,14,2
2017-02-26,19,0.5
2017-03-05,17,2
2017-03-12,15,1
2017-03-19,16,2
2017-03-26,15,2
2017-04-02,12,1
2017-04-09,9,2
2017-04-16,13,1
2017-04-23,18,1
2017-04-30,14,2
2017-05-07,15,3
2017-05-14,16,2
2017-05-21,12,5
2017-05-28,32,1
2017-06-04,16,2
2017-06-11,16,2
2017-06-18,14,24
2017-06-25,13,4
2017-07-02,9,5
2017-07-09,12,3
2017-07-16,8,3
2017-07-23,5,4
2017-07-30,8,13
2017-08-06,10,9
2017-08-13,8,2
2017-08-20,6,3
2017-08-27,10,1
2017-09-03,12,2
2017-09-10,13,2
2017-09-17,13,2
2017-09-24,13,1
2017-10-01,12,0.5
2017-10-08,14,2
2017-10-15,13,2
2017-10-22,12,1
2017-10-29,16,2
2017-11-05,18,1
2017-11-12,20,1
2017-11-19,20,1
2017-11-26,15,1
2017-12-03,18,0.5
2017-12-10,18,1
2017-12-17,10,2
2017-12-24,8,0.5
2017-12-31,11,1
2018-01-07,15,2
2018-01-14,15,0.5
2018-01-21,15,1
2018-01-28,17,0.5
2018-02-04,15,1
2018-02-11,11,1
2018-02-18,11,1
2018-02-25,16,1
2018-03-04,14,1
2018-03-11,15,1
2018-03-18,14,2
2018-03-25,9,1
2018-04-01,6,3
2018-04-08,9,3
2018-04-15,14,6
2018-04-22,15,6
2018-04-29,17,2
2018-05-06,13,4
2018-05-13,14,3
2018-05-20,13,3
2018-05-27,8,3
2018-06-03,11,3
2018-06-10,9,4
2018-06-17,12,6
2018-06-24,11,25
2018-07-01,9,39
2018-07-08,6,21
2018-07-15,9,24
2018-07-22,12,69
2018-07-29,9,26
2018-08-05,13,17
2018-08-12,5,10
2018-08-19,5,5
2018-08-26,7,6
2018-09-02,9,3
2018-09-09,9,1
2018-09-16,12,2
2018-09-23,11,1
2018-09-30,11,1
2018-10-07,31,1
2018-10-14,19,1
2018-10-21,12,1
2018-10-28,14,0.5
2018-11-04,16,1
2018-11-11,16,1
2018-11-18,20,1
2018-11-25,19,0.5
2018-12-02,26,1
2018-12-09,21,1
2018-12-16,13,0.5
2018-12-23,6,2
2018-12-30,10,1
2019-01-06,17,1
2019-01-13,17,2
2019-01-20,17,4
2019-01-27,20,2
2019-02-03,19,2
2019-02-10,43,2
2019-02-17,18,3
2019-02-24,30,3
2019-03-03,27,1
2019-03-10,46,1
2019-03-17,23,1
2019-03-24,22,6
2019-03-31,21,3
2019-04-07,17,2
2019-04-14,55,2
2019-04-21,58,2
2019-04-28,44,10
2019-05-05,31,3
2019-05-12,31,2
2019-05-19,38,5
2019-05-26,17,5
2019-06-02,27,5
2019-06-09,26,5
2019-06-16,27,8
2019-06-23,24,35
2019-06-30,22,7
2019-07-07,18,3
2019-07-14,15,8
2019-07-21,23,50
2019-07-28,19,7
2019-08-04,21,4
2019-08-11,20,7
2019-08-18,16,7
2019-08-25,22,5
2019-09-01,20,2
2019-09-08,23,2
2019-09-15,100,2
2019-09-22,64,1
2019-09-29,41,0.5
2019-10-06,44,1
2019-10-13,38,1
2019-10-20,24,1
2019-10-27,24,1
2019-11-03,32,2
2019-11-10,32,1
2019-11-17,30,0.5
2019-11-24,41,0.5
2019-12-01,37,1
2019-12-08,31,1
2019-12-15,24,2
2019-12-22,13,1
2019-12-29,24,2
2020-01-05,31,1
2020-01-12,39,1
2020-01-19,38,1
2020-01-26,29,2
2020-02-02,32,1
2020-02-09,29,1
2020-02-16,23,1
2020-02-23,34,2
2020-03-01,25,2
2020-03-08,29,2
2020-03-15,21,2
2020-03-22,24,4
2020-03-29,21,2
2020-04-05,11,2
2020-04-12,12,2
2020-04-19,24,1
2020-04-26,22,1
2020-05-03,18,2
2020-05-10,17,3
2020-05-17,14,3
2020-05-24,14,4
2020-05-31,19,4
2020-06-07,19,4
2020-06-14,18,5
2020-06-21,19,12
2020-06-28,16,6
2020-07-05,16,5
2020-07-12,12,4
2020-07-19,8,4
2020-07-26,8,4
2020-08-02,9,9
2020-08-09,10,19
2020-08-16,10,4
2020-08-23,12,3
2020-08-30,11,4
2020-09-06,19,4
2020-09-13,23,2
2020-09-20,22,1
2020-09-27,24,1
2020-10-04,25,1
2020-10-11,20,1
2020-10-18,20,1
2020-10-25,13,1
2020-11-01,19,1
2020-11-08,20,2
2020-11-15,21,2
2020-11-22,17,2
2020-11-29,21,1
2020-12-06,19,1
2020-12-13,15,1
2020-12-20,7,2
2020-12-27,8,2
2021-01-03,19,2
2021-01-10,25,2
2021-01-17,29,2
2021-01-24,28,1
2021-01-31,27,1
2021-02-07,23,1
2021-02-14,18,2
2021-02-21,25,2
2021-02-28,23,4
2021-03-07,20,4
2021-03-14,18,2
2021-03-21,20,5
2021-03-28,14,5
2021-04-04,16,3
2021-04-11,16,4
2021-04-18,28,5
2021-04-25,22,5
2021-05-02,21,3
2021-05-09,21,4
2021-05-16,21,11
2021-05-23,17,7
2021-05-30,11,5
2021-06-06,16,3
2021-06-13,18,7
2021-06-20,16,8
2021-06-27,19,28
2021-07-04,16,13
2021-07-11,17,11
2021-07-18,19,42
2021-07-25,17,16
2021-08-01,15,20
2021-08-08,38,20
2021-08-15,17,11
2021-08-22,13,7
2021-08-29,16,8
2021-09-05,19,5
2021-09-12,23,3
2021-09-19,27,2
2021-09-26,27,5
2021-10-03,22,2
2021-10-10,22,1
2021-10-17,28,0.5
2021-10-24,29,1
2021-10-31,59,1
2021-11-07,41,1
2021-11-14,29,1
2021-11-21,22,1
2021-11-28,19,1
2021-12-05,8,1
